Date, Timestamp, Level, Module, Description
12-31,18:00:00.583,I,Vold,Vold	Vold: Vold 2.1 (the revenge) firing up
12-31,18:00:00.584,D,Vold,Volume	Vold: Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31,18:00:00.584,D,Vold,Volume	Vold: Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31,18:00:00.584,D,Vold,Volume	Vold: Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31,18:00:00.699,I,SurfaceFlinger,SurfaceFlinger	SurfaceFlinger: SurfaceFlinger is starting
12-31,18:00:00.705,I,SurfaceFlinger,SurfaceFlinger's	SurfaceFlinger's main thread ready to run. Initializing graphics H/W...
12-31,18:00:00.799,D,dss_reset_service,wait	300000 usec before addService()
12-31,18:00:00.870,I,SurfaceFlinger,PowerVR	PowerVR support loaded, continuing...
12-31,18:00:00.882,D,libEGL,loaded	loaded /vendor/lib/egl/libEGL_POWERVR_SGX544_116.so
12-31,18:00:00.891,D,libEGL,loaded	loaded /vendor/lib/egl/libGLESv1_CM_POWERVR_SGX544_116.so
12-31,18:00:00.897,D,libEGL,loaded	loaded /vendor/lib/egl/libGLESv2_POWERVR_SGX544_116.so
12-31,18:00:00.959,I,ti_hwc,get_dsscomp_display_info	 get_dsscomp_display_info  ==>> getting display info for 
12-31,18:00:00.959,I,ti_hwc,display		 display 0
12-31,18:00:00.959,I,ti_hwc,channel(3),		 channel(3), 
12-31,18:00:00.959,I,ti_hwc,enabled		 enabled (1)
12-31,18:00:00.959,I,ti_hwc:
12-31,18:00:00.959,E,ti_hwc,channel	channel id 3
12-31,18:00:00.960,I,ti_hwc,Transforming	Transforming FB (1280x800) => (1280x800) rot0
12-31,18:00:00.960,I,ti_hwc,Expecting	Expecting h/w vsync for pizza
12-31,18:00:00.960,I,ti_hwc,clone	clone region is set to (0,0) to (1280,800)
12-31,18:00:00.960,W,ti_hwc,Failed	Failed to remove non-existent display 1
12-31,18:00:00.960,I,ti_hwc,external	external display changed (state=0, mirror={mirror disabled tform=-1deg}, tv=0
12-31,18:00:00.960,E,ti_hwc,Failed	Failed to get display 2 info (22)
12-31,18:00:00.960,E,ti_hwc,unable	unable to open the secondary display ==> err = -22
12-31,18:00:00.960,I,ti_hwc,open_device(rgb_order=1	open_device(rgb_order=1 nv12_only=0)
12-31,18:00:00.960,I,ti_hwc,blitter	blitter present, blits mode 1, blits policy 1
12-31,18:00:00.960,I,ti_hwc,Attempting	Attempting to get framebuffer device info.
12-31,18:00:00.961,I,SurfaceFlinger,Using	Using composer version 1.1
12-31,18:00:00.961,W,SurfaceFlinger,no	no suitable EGLConfig found, trying without EGL_FRAMEBUFFER_TARGET_ANDROID
12-31,18:00:00.976,E,cutils-trace,Error	Error opening trace file: No such file or directory (2)
12-31,18:00:00.990,I,SurfaceFlinger,EGL	EGL informations:
12-31,18:00:00.990,I,SurfaceFlinger,vendor:	vendor: Android
12-31,18:00:00.990,I,SurfaceFlinger,version:	version: 1.4 Android META-EGL
12-31,18:00:00.990,I,SurfaceFlinger,extensions:	extensions: EGL_KHR_image EGL_KHR_image_base EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_gl_renderbuffer_image EGL_KHR_fence_sync EGL_ANDROID_image_native_buffer 
12-31,18:00:00.990,I,SurfaceFlinger,Client	Client API: OpenGL_ES
12-31,18:00:00.990,I,SurfaceFlinger,EGLSurface:	EGLSurface: 8-8-8-8, config=0x2
12-31,18:00:00.990,I,SurfaceFlinger,OpenGL	OpenGL ES informations:
12-31,18:00:00.990,I,SurfaceFlinger,vendor:	vendor: Imagination Technologies
12-31,18:00:00.990,I,SurfaceFlinger,renderer:	renderer: PowerVR SGX 544MP
12-31,18:00:00.990,I,SurfaceFlinger,version:	version: OpenGL ES-CM 1.1
12-31,18:00:00.990,I,SurfaceFlinger,extensions:	extensions: GL_EXT_debug_marker GL_OES_byte_coordinates GL_OES_fixed_point GL_OES_single_precision GL_OES_matrix_get GL_OES_read_format GL_OES_compressed_paletted_texture GL_OES_point_sprite GL_OES_point_size_array GL_OES_matrix_palette GL_OES_draw_texture GL_OES_query_matrix GL_OES_texture_env_crossbar GL_OES_texture_mirrored_repeat GL_OES_texture_cube_map GL_OES_blend_subtract GL_OES_blend_func_separate GL_OES_blend_equation_separate GL_OES_stencil_wrap GL_OES_extended_matrix_palette GL_OES_framebuffer_object GL_OES_rgb8_rgba8 GL_OES_depth24 GL_OES_stencil8 GL_OES_compressed_ETC1_RGB8_texture GL_OES_mapbuffer GL_OES_EGL_image GL_OES_EGL_image_external GL_EXT_multi_draw_arrays GL_OES_required_internalformat GL_IMG_read_format GL_IMG_texture_compression_pvrtc GL_IMG_texture_format_BGRA8888 GL_EXT_texture_format_BGRA8888 GL_OES_egl_sync GL_IMG_vertex_array_object GL_APPLE_texture_2D_limited_npot
12-31,18:00:00.990,I,SurfaceFlinger,GL_MAX_TEXTURE_SIZE	GL_MAX_TEXTURE_SIZE = 4096
12-31,18:00:00.990,I,SurfaceFlinger,GL_MAX_VIEWPORT_DIMS	GL_MAX_VIEWPORT_DIMS = 4096 x 4096
12-31,18:00:01.090,D,SurfaceFlinger,Screen	Screen acquired, type=0 flinger=0x781e2478
12-31,18:00:01.099,D,dss_reset_service,addService()	successful on 1st attempt
12-31,18:00:01.100,D,dss_reset_service,DSSResetService::threadLoop()	
12-31,18:00:01.100,D,dss_reset_service,enter	threadloop
12-31,18:00:01.112,E,ti_hwc,set[0]:	set[0]: No buffer is provided for GL composition
12-31,18:00:01.125,I,mediaserver,ServiceManager:	0x7722d220
