Date, Timestamp, Level, Module, Description
02-11,18:09:02.479,F,libc,failed	libc: failed to wait for crash_dump helper: No child processes
02-11,18:09:02.954,F,libc,failed	libc: failed to wait for crash_dump helper: No child processes
02-12,00:02:08.295,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2339 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:02:08.295,D,ViewRootImpl,swipeFromBottom	false downY 2339 mStatusBarHeight 54
02-12,00:02:15.103,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2331 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:02:15.115,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2331 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:02:15.115,D,ViewRootImpl,swipeFromBottom	false downY 2331 mStatusBarHeight 54
02-12,00:02:15.322,I,chatty,uid=1000(system)	Binder:1560_8 expire 12 lines
02-12,00:02:15.579,I,chatty,uid=1000(system)	BroadcastQueue expire 10 lines
02-12,00:02:15.683,I,chatty,uid=1000(system)	android.anim expire 31 lines
02-12,00:02:15.722,I,chatty,uid=1000(system)	android.anim.lf expire 2 lines
02-12,00:02:22.761,I,chatty,uid=1000	system_server expire 6 lines
02-12,00:02:22.977,I,chatty,uid=1000(system)	battery_cpu_tra expire 10 lines
02-12,00:02:28.034,I,chatty,uid=1000(system)	Binder:1560_9 expire 4 lines
02-12,00:02:28.071,I,chatty,uid=1000(system)	Binder:1560_19 expire 8 lines
02-12,00:02:28.113,I,chatty,uid=1000(system)	ActivityManager expire 3 lines
02-12,00:02:28.147,I,chatty,uid=1000(system)	Binder:1560_15 expire 6 lines
02-12,00:02:29.233,I,chatty,uid=1000(system)	Binder:1560_6 expire 8 lines
02-12,00:02:30.805,I,chatty,uid=1000(system)	AlarmManager expire 1 line
02-12,00:02:32.093,I,chatty,uid=1000(system)	LazyTaskWriterT expire 7 lines
02-12,00:02:35.349,I,chatty,uid=1000(system)	Binder:1560_B expire 22 lines
02-12,00:02:35.736,I,chatty,uid=1000(system)	ActivityManager expire 6 lines
02-12,00:02:39.836,E,storaged,getDiskStats	failed with result NOT_SUPPORTED and size 0
02-12,00:02:41.762,I,chatty,uid=1000(system)	Binder:1560_1C expire 20 lines
02-12,00:02:41.970,I,chatty,uid=1000(system)	Binder:1560_8 expire 14 lines
02-12,00:02:42.011,I,chatty,uid=1000(system)	android.anim expire 12 lines
02-12,00:02:45.344,I,chatty,uid=1000(system)	watchdog expire 2 lines
02-12,00:03:02.460,I,chatty,uid=1000(system)	Binder:1560_2 expire 8 lines
02-12,00:03:05.617,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2326 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:03:05.624,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2326 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:03:05.624,D,ViewRootImpl,swipeFromBottom	false downY 2326 mStatusBarHeight 54
02-12,00:03:05.890,I,chatty,uid=1000(system)	android.anim expire 31 lines
02-12,00:03:05.894,I,chatty,uid=1000(system)	Binder:1560_1E expire 9 lines
02-12,00:03:06.985,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2330 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:03:06.994,D,ViewRootImpl,Swipe	Rotation 0 mIgnoring true downY 2330 mScreenHeight 2340 mStatusBarHeight 54 globalScale 1.125
02-12,00:03:06.994,D,ViewRootImpl,swipeFromBottom	false downY 2330 mStatusBarHeight 54
02-12,00:03:07.215,I,chatty,uid=1000(system)	Binder:1560_1C expire 12 lines
02-12,00:03:07.364,I,chatty,uid=1000(system)	Binder:1560_B expire 6 lines
