Date, Timestamp, Level, Module, Description
12-31,17:00:00.574,I,Vold,Vold	Vold: Vold 2.1 (the revenge) firing up
12-31,17:00:00.574,D,Vold,Volume	Vold: Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31,17:00:00.574,D,Vold,Volume	Vold: Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31,17:00:00.574,D,Vold,Volume	Vold: Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31,17:00:00.678,I,SurfaceFlinger,SurfaceFlinger	SurfaceFlinger: SurfaceFlinger is starting
12-31,17:00:00.686,I,SurfaceFlinger,SurfaceFlinger's	SurfaceFlinger's main thread ready to run. Initializing graphics H/W...
12-31,17:00:00.792,D,dss_reset_service,wait	300000 usec before addService()
12-31,17:00:00.921,I,SurfaceFlinger,PowerVR	PowerVR support loaded, continuing...
12-31,17:00:00.929,D,libEGL,loaded	loaded /vendor/lib/egl/libEGL_POWERVR_SGX544_116.so
12-31,17:00:00.938,D,libEGL,loaded	loaded /vendor/lib/egl/libGLESv1_CM_POWERVR_SGX544_116.so
12-31,17:00:00.944,D,libEGL,loaded	loaded /vendor/lib/egl/libGLESv2_POWERVR_SGX544_116.so
12-31,17:00:01.008,I,ti_hwc,get_dsscomp_display_info	 get_dsscomp_display_info  ==>> getting display info for 
12-31,17:00:01.008,I,ti_hwc,display		 display 0
12-31,17:00:01.008,I,ti_hwc,channel(3),		 channel(3), 
12-31,17:00:01.008,I,ti_hwc,enabled		 enabled (1)
12-31,17:00:01.008,I,ti_hwc:
12-31,17:00:01.008,E,ti_hwc,channel	channel id 3
12-31,17:00:01.008,I,ti_hwc,Transforming	Transforming FB (1280x800) => (1280x800) rot0
12-31,17:00:01.008,I,ti_hwc,Expecting	Expecting h/w vsync for pizza
12-31,17:00:01.008,I,ti_hwc,clone	clone region is set to (0,0) to (1280,800)
12-31,17:00:01.008,W,ti_hwc,Failed	Failed to remove non-existent display 1
12-31,17:00:01.008,I,ti_hwc,external	external display changed (state=0, mirror={mirror disabled tform=-1deg}, tv=0
12-31,17:00:01.008,E,ti_hwc,Failed	Failed to get display 2 info (22)
12-31,17:00:01.008,E,ti_hwc,unable	unable to open the secondary display ==> err = -22
12-31,17:00:01.008,I,ti_hwc,open_device(rgb_order=1	open_device(rgb_order=1 nv12_only=0)
12-31,17:00:01.008,I,ti_hwc,blitter	blitter present, blits mode 1, blits policy 1
12-31,17:00:01.009,I,ti_hwc,Attempting	Attempting to get framebuffer device info.
12-31,17:00:01.009,I,SurfaceFlinger,Using	Using composer version 1.1
12-31,17:00:01.009,W,SurfaceFlinger,no	no suitable EGLConfig found, trying without EGL_FRAMEBUFFER_TARGET_ANDROID
12-31,17:00:01.023,E,cutils-trace,Error	Error opening trace file: No such file or directory (2)
12-31,17:00:01.043,I,SurfaceFlinger,EGL	EGL informations:
12-31,17:00:01.043,I,SurfaceFlinger,vendor:	vendor: Android
12-31,17:00:01.043,I,SurfaceFlinger,version:	version: 1.4 Android META-EGL
12-31,17:00:01.043,I,SurfaceFlinger,extensions:	extensions: EGL_KHR_image EGL_KHR_image_base EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_gl_renderbuffer_image EGL_KHR_fence_sync EGL_ANDROID_image_native_buffer 
12-31,17:00:01.043,I,SurfaceFlinger,Client	Client API: OpenGL_ES
12-31,17:00:01.043,I,SurfaceFlinger,EGLSurface:	EGLSurface: 8-8-8-8, config=0x2
12-31,17:00:01.043,I,SurfaceFlinger,OpenGL	OpenGL ES informations:
12-31,17:00:01.043,I,SurfaceFlinger,vendor:	vendor: Imagination Technologies
12-31,17:00:01.043,I,SurfaceFlinger,renderer:	renderer: PowerVR SGX 544MP
12-31,17:00:01.043,I,SurfaceFlinger,version:	version: OpenGL ES-CM 1.1
